source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
musingsmemorieso00hensuoft,1509388495371,"http://dbpedia.org/resource/Vienna","http://dbpedia.org/resource/George_Henschel",164949,166135,516273,31,2,0,0,-858100,-551696
cu31924022334563,1438614732055,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",155289,156104,827587,36,0,0,0,-1492242,-1
reminiscencesofm01kellrich,1429702947558,"http://dbpedia.org/resource/Padua","",242049,243398,501477,11,0,1,0,0,-1
thirtyyearsofmus00klei,1438170164484,"","",82309,83229,578001,0,0,0,0,-1,-1
cu31924022334563,1438765124421,"","",410927,411529,827587,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437246918352,"http://dbpedia.org/resource/Liverpool","",265302,265941,520572,12,0,2,0,0,-1
lifereminiscence00elveuoft,1432997980645,"http://dbpedia.org/resource/Birmingham","http://dbpedia.org/resource/Felix_Mendelssohn",103937,104603,393672,2,23,1,1,0,0
cu31924022334563,1438767071786,"","",415711,416696,827587,0,0,0,0,-1,-1
reminiscencesofm01kellrich,1428140980187,"http://dbpedia.org/resource/Naples","",119629,120814,501477,113,0,0,0,-704847,-1
cu31924022334563,1438678160825,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",201557,202649,827587,36,0,0,0,-1445697,-1
musicallettersf00unkngoog,1448278425221,"http://dbpedia.org/resource/Leipzig","",65586,65916,571646,34,0,0,0,-1039070,-1
lifereminiscence00elveuoft,1433249567533,"http://dbpedia.org/resource/Windsor,_Berkshire","",302232,302757,393672,30,0,0,0,-466964,-1
autobiographyan05unkngoog,1434637762881,"","",552847,553322,1119268,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448312128598,"http://dbpedia.org/resource/Berlin","",172347,173014,571646,27,0,1,0,0,-1
reminiscencesofm02kellrich,1435769270470,"http://dbpedia.org/resource/York","",19669,20065,520572,19,0,1,0,0,-1
thirtyyearsofmus00kleiuoft,1439302634505,"http://dbpedia.org/resource/London","",198132,198428,565930,409,0,0,0,-930801,-1
musicallettersf00unkngoog,1448921825553,"","",371273,371358,571646,0,0,0,0,-1,-1
reminiscencesofm01kellrich,1435312884754,"http://dbpedia.org/resource/Chambray","",489937,490628,501477,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448660876121,"","",329767,330394,571646,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448835650796,"","",347315,347687,571646,0,0,0,0,-1,-1
lifereminiscence00elveuoft,1432894793203,"http://dbpedia.org/resource/Windsor,_Berkshire","",42357,43204,393672,30,0,0,0,-726517,-1
memoriesofmusici00ganzuoft,1436435912176,"http://dbpedia.org/resource/Sorrento","",340966,341731,492418,1,0,1,0,0,-1
